Iteration	Residual_2norm
184	171.371276
185	171.357066
186	171.342858
187	171.328651
188	171.314445
189	171.300240
190	171.286037
191	171.271834
192	171.257633
193	171.243433
194	171.229234
195	171.215036
196	171.200840
197	171.186645
198	171.172450
199	171.158258
200	171.144066
201	171.129875
202	171.115686
203	171.101497
204	171.087310
205	171.073124
206	171.058940
207	171.044756
208	171.030574
209	171.016392
210	171.002212
211	170.988033
212	170.973856
213	170.959679
214	170.945504
215	170.931330
216	170.917156
217	170.902985
218	170.888814
219	170.874644
220	170.860476
221	170.846309
222	170.832143
223	170.817978
224	170.803815
225	170.789652
226	170.775491
227	170.761331
228	170.747172
229	170.733014
230	170.718857
231	170.704702
232	170.690548
233	170.676394
234	170.662243
235	170.648092
236	170.633942
237	170.619794
238	170.605647
239	170.591501
240	170.577356
241	170.563212
242	170.549069
243	170.534928
244	170.520788
245	170.506649
246	170.492511
247	170.478374
248	170.464239
249	170.450104
250	170.435971
251	170.421839
252	170.407708
253	170.393579
254	170.379450
255	170.365323
256	170.351197
257	170.337072
258	170.322948
259	170.308825
260	170.294704
261	170.280583
262	170.266464
263	170.252346
264	170.238229
265	170.224114
266	170.209999
267	170.195886
268	170.181774
269	170.167663
270	170.153553
271	170.139444
272	170.125337
273	170.111231
274	170.097126
275	170.083022
276	170.068919
277	170.054817
278	170.040717
279	170.026617
280	170.012519
281	169.998422
282	169.984327
283	169.970232
284	169.956139
285	169.942046
286	169.927955
287	169.913865
288	169.899776
289	169.885689
290	169.871602
291	169.857517
292	169.843433
293	169.829350
294	169.815268
295	169.801188
296	169.787108
297	169.773030
298	169.758953
299	169.744877
300	169.730802
301	169.716728
302	169.702656
303	169.688585
304	169.674515
305	169.660446
306	169.646378
307	169.632311
308	169.618246
309	169.604181
310	169.590118
311	169.576056
312	169.561996
313	169.547936
314	169.533877
315	169.519820
316	169.505764
317	169.491709
318	169.477655
319	169.463603
320	169.449551
321	169.435501
322	169.421452
323	169.407404
324	169.393357
325	169.379311
326	169.365267
327	169.351223
328	169.337181
329	169.323140
330	169.309100
331	169.295062
332	169.281024
333	169.266988
334	169.252952
335	169.238918
336	169.224886
337	169.210854
338	169.196823
339	169.182794
340	169.168766
341	169.154739
342	169.140713
343	169.126688
344	169.112664
345	169.098642
346	169.084621
347	169.070601
348	169.056582
349	169.042564
350	169.028547
351	169.014532
352	169.000518
353	168.986504
354	168.972493
355	168.958482
356	168.944472
357	168.930464
358	168.916456
359	168.902450
360	168.888445
361	168.874441
362	168.860439
363	168.846437
364	168.832437
365	168.818438
366	168.804440
367	168.790443
368	168.776447
369	168.762452
370	168.748459
371	168.734467
372	168.720476
373	168.706486
374	168.692497
375	168.678509
376	168.664523
377	168.650538
378	168.636553
379	168.622571
380	168.608589
381	168.594608
382	168.580629
383	168.566650
384	168.552673
385	168.538697
386	168.524722
387	168.510748
388	168.496776
389	168.482805
390	168.468834
391	168.454865
392	168.440897
393	168.426931
394	168.412965
395	168.399001
396	168.385037
397	168.371075
398	168.357114
399	168.343154
400	168.329196
401	168.315238
402	168.301282
403	168.287327
404	168.273373
405	168.259420
406	168.245468
407	168.231517
408	168.217568
409	168.203620
410	168.189673
411	168.175727
412	168.161782
413	168.147838
414	168.133896
415	168.119955
416	168.106014
417	168.092075
418	168.078138
419	168.064201
420	168.050265
421	168.036331
422	168.022398
423	168.008466
424	167.994535
425	167.980605
426	167.966676
427	167.952749
428	167.938822
429	167.924897
430	167.910973
431	167.897050
432	167.883129
433	167.869208
434	167.855289
435	167.841371
436	167.827454
437	167.813538
438	167.799623
439	167.785709
440	167.771797
441	167.757885
442	167.743975
443	167.730066
444	167.716158
445	167.702252
446	167.688346
447	167.674442
448	167.660539
449	167.646636
450	167.632735
451	167.618836
452	167.604937
453	167.591040
454	167.577143
455	167.563248
