Iteration	Residual_2norm
1146	7.466945
1147	7.448103
1148	7.429391
1149	7.410808
1150	7.392352
1151	7.374022
1152	7.355817
1153	7.337736
1154	7.319778
1155	7.301941
1156	7.284225
1157	7.266628
1158	7.249149
1159	7.231788
1160	7.214542
1161	7.197411
1162	7.180394
1163	7.163490
1164	7.146698
1165	7.130017
1166	7.113445
1167	7.096981
1168	7.080626
1169	7.064377
1170	7.048234
1171	7.032195
1172	7.016260
1173	7.000428
1174	6.984698
1175	6.969068
1176	6.953539
1177	6.938108
1178	6.922776
1179	6.907540
1180	6.892401
1181	6.877358
1182	6.862408
1183	6.847553
1184	6.832790
1185	6.818119
1186	6.803539
1187	6.789049
1188	6.774649
1189	6.760337
1190	6.746113
1191	6.731976
1192	6.717925
1193	6.703960
1194	6.690078
1195	6.676281
1196	6.662567
1197	6.648935
1198	6.635384
1199	6.621914
1200	6.608525
1201	6.595214
1202	6.581982
1203	6.568828
1204	6.555751
1205	6.542751
1206	6.529826
1207	6.516976
1208	6.504200
1209	6.491499
1210	6.478870
1211	6.466314
1212	6.453829
1213	6.441415
1214	6.429072
1215	6.416799
1216	6.404595
1217	6.392459
1218	6.380391
1219	6.368391
1220	6.356457
1221	6.344589
1222	6.332787
1223	6.321050
1224	6.309377
1225	6.297768
1226	6.286222
1227	6.274739
1228	6.263318
1229	6.251958
1230	6.240659
1231	6.229421
1232	6.218243
1233	6.207124
1234	6.196064
1235	6.185062
1236	6.174118
1237	6.163232
1238	6.152402
1239	6.141629
1240	6.130912
1241	6.120249
1242	6.109642
1243	6.099089
1244	6.088590
1245	6.078145
1246	6.067752
1247	6.057412
1248	6.047124
1249	6.036888
1250	6.026703
1251	6.016569
1252	6.006485
1253	5.996451
1254	5.986466
1255	5.976530
1256	5.966643
1257	5.956804
1258	5.947013
1259	5.937270
1260	5.927573
1261	5.917923
1262	5.908319
1263	5.898761
1264	5.889248
1265	5.879781
1266	5.870358
1267	5.860979
1268	5.851645
1269	5.842354
1270	5.833106
1271	5.823901
1272	5.814738
1273	5.805618
1274	5.796539
1275	5.787502
1276	5.778506
1277	5.769551
1278	5.760636
1279	5.751761
1280	5.742926
1281	5.734131
1282	5.725374
1283	5.716657
1284	5.707978
1285	5.699337
1286	5.690734
1287	5.682169
1288	5.673641
1289	5.665150
1290	5.656696
1291	5.648278
1292	5.639896
1293	5.631550
1294	5.623240
1295	5.614965
1296	5.606725
1297	5.598520
1298	5.590349
1299	5.582212
1300	5.574109
1301	5.566040
1302	5.558005
1303	5.550002
1304	5.542032
1305	5.534095
1306	5.526191
1307	5.518318
1308	5.510478
1309	5.502669
1310	5.494891
1311	5.487145
1312	5.479429
1313	5.471745
1314	5.464090
1315	5.456466
1316	5.448872
1317	5.441308
1318	5.433774
1319	5.426268
1320	5.418792
1321	5.411345
1322	5.403927
1323	5.396537
1324	5.389175
1325	5.381841
1326	5.374535
1327	5.367257
1328	5.360007
1329	5.352784
1330	5.345587
1331	5.338418
1332	5.331275
1333	5.324159
1334	5.317069
1335	5.310006
1336	5.302968
1337	5.295956
1338	5.288970
1339	5.282009
1340	5.275073
1341	5.268162
1342	5.261276
1343	5.254415
1344	5.247579
1345	5.240766
1346	5.233978
1347	5.227214
1348	5.220474
1349	5.213758
1350	5.207065
1351	5.200395
1352	5.193749
1353	5.187125
1354	5.180525
1355	5.173947
1356	5.167392
1357	5.160860
1358	5.154349
1359	5.147861
1360	5.141395
1361	5.134951
1362	5.128528
1363	5.122127
1364	5.115748
1365	5.109390
1366	5.103053
1367	5.096736
1368	5.090441
1369	5.084167
1370	5.077913
1371	5.071680
1372	5.065467
1373	5.059274
1374	5.053101
1375	5.046949
1376	5.040816
1377	5.034703
1378	5.028609
1379	5.022535
1380	5.016480
1381	5.010445
1382	5.004429
1383	4.998431
1384	4.992453
1385	4.986493
1386	4.980552
1387	4.974629
1388	4.968725
1389	4.962839
1390	4.956972
1391	4.951122
1392	4.945291
1393	4.939477
1394	4.933681
1395	4.927903
1396	4.922142
1397	4.916399
1398	4.910673
1399	4.904964
1400	4.899273
1401	4.893598
1402	4.887941
1403	4.882300
1404	4.876676
1405	4.871069
1406	4.865478
1407	4.859904
1408	4.854346
1409	4.848805
1410	4.843279
1411	4.837770
1412	4.832277
1413	4.826799
1414	4.821338
1415	4.815892
1416	4.810462
1417	4.805047
1418	4.799648
1419	4.794264
1420	4.788895
1421	4.783542
1422	4.778204
1423	4.772881
1424	4.767573
1425	4.762280
1426	4.757001
1427	4.751738
1428	4.746489
1429	4.741254
1430	4.736034
1431	4.730829
1432	4.725638
1433	4.720461
1434	4.715298
1435	4.710149
1436	4.705015
1437	4.699894
1438	4.694788
1439	4.689695
1440	4.684616
1441	4.679550
1442	4.674498
1443	4.669460
1444	4.664435
1445	4.659424
1446	4.654426
1447	4.649441
1448	4.644469
1449	4.639511
1450	4.634565
1451	4.629633
1452	4.624714
1453	4.619807
1454	4.614913
1455	4.610032
1456	4.605164
1457	4.600308
1458	4.595465
1459	4.590634
1460	4.585816
1461	4.581010
1462	4.576217
1463	4.571436
1464	4.566666
1465	4.561910
1466	4.557165
1467	4.552432
1468	4.547711
1469	4.543002
1470	4.538305
1471	4.533620
1472	4.528946
1473	4.524284
1474	4.519634
1475	4.514996
1476	4.510368
1477	4.505753
1478	4.501149
1479	4.496556
1480	4.491974
1481	4.487404
1482	4.482845
1483	4.478297
1484	4.473760
1485	4.469234
1486	4.464720
1487	4.460216
1488	4.455723
1489	4.451241
1490	4.446770
1491	4.442310
1492	4.437860
1493	4.433421
1494	4.428992
1495	4.424575
1496	4.420167
1497	4.415771
1498	4.411384
1499	4.407008
1500	4.402643
1501	4.398287
1502	4.393942
1503	4.389607
1504	4.385283
1505	4.380968
1506	4.376664
1507	4.372369
1508	4.368085
1509	4.363810
1510	4.359546
1511	4.355291
1512	4.351046
1513	4.346811
1514	4.342586
1515	4.338370
1516	4.334164
1517	4.329968
1518	4.325781
1519	4.321604
1520	4.317437
1521	4.313278
1522	4.309130
1523	4.304990
1524	4.300860
1525	4.296740
1526	4.292628
1527	4.288526
1528	4.284433
1529	4.280349
1530	4.276275
1531	4.272209
1532	4.268152
1533	4.264105
1534	4.260066
1535	4.256037
1536	4.252016
1537	4.248004
1538	4.244002
1539	4.240007
1540	4.236022
1541	4.232046
1542	4.228078
1543	4.224118
1544	4.220168
1545	4.216226
1546	4.212293
1547	4.208368
1548	4.204451
1549	4.200544
1550	4.196644
1551	4.192753
1552	4.188870
1553	4.184996
1554	4.181130
1555	4.177273
1556	4.173423
1557	4.169582
1558	4.165749
1559	4.161924
1560	4.158107
1561	4.154299
1562	4.150498
1563	4.146706
1564	4.142921
1565	4.139145
1566	4.135376
1567	4.131616
1568	4.127863
1569	4.124118
1570	4.120381
1571	4.116652
1572	4.112930
1573	4.109217
1574	4.105511
1575	4.101812
1576	4.098122
1577	4.094439
1578	4.090763
1579	4.087096
1580	4.083435
1581	4.079783
1582	4.076138
1583	4.072500
1584	4.068870
1585	4.065247
1586	4.061631
1587	4.058023
1588	4.054423
1589	4.050829
1590	4.047243
1591	4.043664
1592	4.040093
1593	4.036528
1594	4.032971
1595	4.029421
1596	4.025878
1597	4.022343
1598	4.018814
1599	4.015293
1600	4.011778
1601	4.008271
1602	4.004770
1603	4.001277
1604	3.997790
1605	3.994311
1606	3.990838
1607	3.987372
1608	3.983913
1609	3.980461
1610	3.977016
1611	3.973577
1612	3.970146
1613	3.966721
1614	3.963302
1615	3.959891
1616	3.956486
1617	3.953088
1618	3.949696
1619	3.946311
1620	3.942933
1621	3.939561
1622	3.936195
1623	3.932837
1624	3.929484
1625	3.926139
1626	3.922799
1627	3.919467
1628	3.916140
1629	3.912820
1630	3.909506
1631	3.906199
1632	3.902898
1633	3.899603
1634	3.896315
